epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2195.58,0.68941,0.35304,1.0464,0.99054,0.98305,0.9945,0.78711,0.84549,0.353,1.29204,0.0014324,0.0014324,0.0014324
88,2220.72,0.69597,0.35288,1.0461,0.98838,0.98305,0.99432,0.79946,0.81298,0.35789,1.23705,0.0014258,0.0014258,0.0014258
89,2245.65,0.68129,0.35018,1.03205,0.98299,0.99576,0.9944,0.79991,0.82036,0.3503,1.24819,0.0014192,0.0014192,0.0014192
90,2270.66,0.66531,0.34252,1.03417,0.97823,0.99153,0.99453,0.77419,0.86986,0.38041,1.31311,0.0014126,0.0014126,0.0014126
91,2295.84,0.66411,0.34939,1.02607,0.98632,0.98729,0.99479,0.80786,0.76317,0.34539,1.21416,0.001406,0.001406,0.001406
92,2320.98,0.68092,0.35456,1.03552,0.98942,0.98305,0.99462,0.80786,0.79925,0.35078,1.23961,0.0013994,0.0013994,0.0013994
93,2345.92,0.67545,0.34858,1.03052,0.98743,0.99895,0.99487,0.81512,0.77295,0.33076,1.21125,0.0013928,0.0013928,0.0013928
94,2371.15,0.65141,0.34826,1.02044,0.97867,0.98729,0.99402,0.78764,0.82399,0.36664,1.26069,0.0013862,0.0013862,0.0013862
95,2396.26,0.69272,0.34715,1.0366,0.98299,0.9793,0.99446,0.79873,0.83675,0.35177,1.27573,0.0013796,0.0013796,0.0013796
96,2421.45,0.6431,0.32729,1.0221,0.99149,0.98733,0.99492,0.78713,0.8676,0.34982,1.3113,0.001373,0.001373,0.001373
97,2446.55,0.6509,0.34145,1.03488,0.9904,0.97881,0.99441,0.80869,0.80209,0.35751,1.24745,0.0013664,0.0013664,0.0013664
98,2471.7,0.64669,0.33469,1.02571,0.98732,0.99153,0.99466,0.79898,0.81399,0.35171,1.25159,0.0013598,0.0013598,0.0013598
99,2496.97,0.66978,0.34586,1.0257,0.97907,0.9913,0.99437,0.79673,0.81208,0.36917,1.24562,0.0013532,0.0013532,0.0013532
100,2522.02,0.63877,0.32827,1.01566,0.99568,0.97637,0.99442,0.80323,0.79816,0.3668,1.24329,0.0013466,0.0013466,0.0013466
101,2547.14,0.64805,0.33778,1.03089,0.98671,0.97881,0.99402,0.78304,0.85976,0.3815,1.31019,0.00134,0.00134,0.00134
102,2572.2,0.65528,0.33584,1.02329,0.99152,0.99134,0.99479,0.80885,0.78355,0.34448,1.21273,0.0013334,0.0013334,0.0013334
103,2597.23,0.64715,0.34022,1.0094,0.99306,0.97881,0.99454,0.81503,0.78296,0.35989,1.2187,0.0013268,0.0013268,0.0013268
104,2622.55,0.64681,0.3408,1.01939,0.97792,0.99576,0.99445,0.80222,0.78517,0.34962,1.22901,0.0013202,0.0013202,0.0013202
105,2647.84,0.64218,0.33025,1.02019,0.98237,0.98305,0.99322,0.78799,0.80815,0.37188,1.24702,0.0013136,0.0013136,0.0013136
106,2673.19,0.65863,0.34008,1.02744,0.99056,0.98305,0.99423,0.7795,0.8896,0.35954,1.34782,0.001307,0.001307,0.001307
107,2698.3,0.6469,0.33495,1.01793,0.98297,0.9781,0.99391,0.79057,0.84112,0.36714,1.27642,0.0013004,0.0013004,0.0013004
108,2723.51,0.64811,0.34156,1.01442,0.98718,0.97914,0.99454,0.81916,0.76212,0.33935,1.21353,0.0012938,0.0012938,0.0012938
109,2748.62,0.6377,0.33128,1.01018,0.98263,1,0.99479,0.80414,0.83469,0.33077,1.27627,0.0012872,0.0012872,0.0012872
